com.samsung.shealth.step_daily_trend,6188005,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
b0d5638a-97f9-4d6b-a304-f93be8c2d502.binning_data.json,2021-09-21 11:10:37.922,2021-09-19 19:19:24.612,com.sec.android.app.shealth,-2,7348,1.7170604,5854.937,288.2634,VfS0qUERdZ,com.sec.android.app.shealth,b0d5638a-97f9-4d6b-a304-f93be8c2d502,1630281600000,
7be65a5a-def9-4fd1-9f5e-b82e4a6914c9.binning_data.json,2021-09-21 11:10:38.949,2021-09-19 19:23:05.740,com.sec.android.app.shealth,-2,2654,1.4520054,2066.5164,108.13189,VfS0qUERdZ,com.sec.android.app.shealth,7be65a5a-def9-4fd1-9f5e-b82e4a6914c9,1629936000000,
81217409-6190-424b-83e8-5d1bd4127adf.binning_data.json,2021-09-21 11:10:36.706,2021-09-19 19:19:20.537,com.sec.android.app.shealth,-2,8426,1.4396749,6464.406,315.21506,VfS0qUERdZ,com.sec.android.app.shealth,81217409-6190-424b-83e8-5d1bd4127adf,1630713600000,
39e74f56-2ff9-42df-a16b-6a97d8e3d7d9.binning_data.json,2021-09-21 11:10:38.822,2021-09-19 19:20:28.524,com.sec.android.app.shealth,-2,5149,1.5259476,3938.3804,186.00948,VfS0qUERdZ,com.sec.android.app.shealth,39e74f56-2ff9-42df-a16b-6a97d8e3d7d9,1630022400000,
1b34214e-9adc-4009-a46a-42dadbb9a86c.binning_data.json,2021-09-21 11:10:37.190,2021-09-19 19:19:22.604,com.sec.android.app.shealth,-2,2275,1.4853946,1763.391,89.33867,VfS0qUERdZ,com.sec.android.app.shealth,1b34214e-9adc-4009-a46a-42dadbb9a86c,1630540800000,
bbefc2d4-6b6c-4421-b504-97613fc53381.binning_data.json,2021-09-21 11:10:38.049,2021-09-19 19:19:23.953,com.sec.android.app.shealth,-2,7185,1.5555143,5533.493,272.80673,VfS0qUERdZ,com.sec.android.app.shealth,bbefc2d4-6b6c-4421-b504-97613fc53381,1630368000000,
6abe2a8e-c1f3-436a-a4e6-ea9e186d79c5.binning_data.json,2019-09-03 19:20:19.302,2019-09-03 05:11:36.892,com.sec.android.app.shealth,-2,8274,1.4280795,6172.209,318.05875,VfS0qUERdZ,com.sec.android.app.shealth,6abe2a8e-c1f3-436a-a4e6-ea9e186d79c5,1567468800000,
fbb41ac5-5b28-424b-860e-18813bc7c608.binning_data.json,2021-09-21 11:10:38.336,2021-09-19 19:19:25.127,com.sec.android.app.shealth,-2,1885,1.5997887,1522.3617,74.37812,VfS0qUERdZ,com.sec.android.app.shealth,fbb41ac5-5b28-424b-860e-18813bc7c608,1630195200000,
85bcb93b-35f8-487b-8e49-e7dcd67aacbd.binning_data.json,2019-11-20 22:19:09.665,2019-11-20 03:15:25.632,com.sec.android.app.shealth,-2,1902,1.3435363,1338.379,72.00959,VfS0qUERdZ,com.sec.android.app.shealth,85bcb93b-35f8-487b-8e49-e7dcd67aacbd,1574208000000,
1c24b453-2a8d-48b0-9f59-ef03d8dfde68.binning_data.json,2019-06-11 23:00:00.570,2019-06-11 23:00:00.570,com.sec.android.app.shealth,0,5163,2.8874176,4049.4,188.0581,dNgkxZR9yp,com.sec.android.app.shealth,1c24b453-2a8d-48b0-9f59-ef03d8dfde68,1560211200000,
