com.samsung.shealth.activity.day_summary,6188005,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,,0,2019-06-02 19:14:21.747,2019-06-02 19:14:21.747,-1,0,0,0.0,0.0,248afd66-58de-4d04-8565-15ccaeaa1f40.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,248afd66-58de-4d04-8565-15ccaeaa1f40,1558656000000,
0,0,,0,2019-06-02 19:14:11.567,2019-06-02 19:14:11.567,-1,0,0,0.0,0.0,145cdb98-4403-4008-a8ee-bcd1ef7c2402.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,145cdb98-4403-4008-a8ee-bcd1ef7c2402,1558569600000,
9137,5048184,,0,2019-06-03 23:55:07.069,2019-06-02 22:00:01.361,60,360000,138,7278.8213,346.3425,4b52dbd3-2b1a-46bd-9c05-46d8ebab7c7d.extra_data.json,dNgkxZR9yp,93031,com.sec.android.app.shealth,4955153,15900000,4b52dbd3-2b1a-46bd-9c05-46d8ebab7c7d,1559520000000,
16154,10613340,,2105380,2019-06-07 00:35:05.692,2019-06-05 22:00:00.968,60,1280600,293,10895.739,684.3767,78b3dd11-1335-4f34-9a8c-7db25ec266af.extra_data.json,dNgkxZR9yp,96744,com.sec.android.app.shealth,8411216,13140000,78b3dd11-1335-4f34-9a8c-7db25ec266af,1559779200000,
12434,7382189,,0,2019-06-07 22:55:26.345,2019-06-06 22:00:01.084,60,687490,203,9406.29,505.56012,ffe7f97d-50b3-48a2-a809-19999f1d7efd.extra_data.json,dNgkxZR9yp,275655,com.sec.android.app.shealth,7106534,15840000,ffe7f97d-50b3-48a2-a809-19999f1d7efd,1559865600000,
0,0,,0,2019-06-02 19:14:22.021,2019-06-02 19:14:22.021,-1,0,0,0.0,0.0,144f5870-7546-48e4-9ce9-80f1c352484e.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,144f5870-7546-48e4-9ce9-80f1c352484e,1559174400000,
0,0,,0,2019-06-02 19:14:12.052,2019-06-02 19:14:12.052,-1,0,0,0.0,0.0,7afb8068-3c71-4894-9189-5baad0ae8868.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,7afb8068-3c71-4894-9189-5baad0ae8868,1559260800000,
6988,4510597,,0,2019-06-13 00:25:40.650,2019-06-11 23:00:00.258,60,120000,123,5198.495,267.8783,98b02cbe-e470-4f2d-be7a-5bd99ed9fb98.extra_data.json,dNgkxZR9yp,87259,com.sec.android.app.shealth,4423338,26580000,98b02cbe-e470-4f2d-be7a-5bd99ed9fb98,1560297600000,
4364,2813663,,0,2019-06-09 22:15:07.470,2019-06-08 22:00:01.386,60,120000,76,3163.1282,169.00531,cef0c2ee-0e17-4564-a660-074010ebc50c.extra_data.json,dNgkxZR9yp,106696,com.sec.android.app.shealth,2706967,33480000,cef0c2ee-0e17-4564-a660-074010ebc50c,1560038400000,
5734,3504985,,0,2019-06-08 21:35:05.823,2019-06-07 22:00:01.166,60,300000,95,4386.3477,211.27625,153397d4-9dc3-48ee-a7d7-a4025ee202d0.extra_data.json,dNgkxZR9yp,41938,com.sec.android.app.shealth,3463047,28860000,153397d4-9dc3-48ee-a7d7-a4025ee202d0,1559952000000,
