com.samsung.shealth.exercise.weather,6188005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,,2019-11-07 18:43:51.440,48.808483,,,Mostly Cloudy,,1,TWC,2019-11-07 19:03:24.987,2019-11-07 19:03:24.987,0,2.1879451,8.0,76,UTC+0200,AumAWJiKT9,9c241052-d2c1-d40d-07b6-c530e206facf,com.sec.android.app.shealth,,,,3,ab0fe7ce-2905-e240-1dbe-c459f731159d,
1.0,,2019-11-12 11:14:13.950,48.87785,,,Mostly Cloudy,,1,TWC,2019-11-12 11:27:37.811,2019-11-12 11:27:37.811,0,2.3269947,8.0,74,UTC+0200,AumAWJiKT9,849be2c0-5d4b-348a-b34d-6a8e19917f79,com.sec.android.app.shealth,,,,3,3a26d24a-321f-2c20-613a-aa9b88b17af9,
0.0,,2019-11-23 13:05:17.930,48.862312,,,Cloudy,,1,TWC,2019-11-23 13:19:11.383,2019-11-23 13:19:11.383,0,2.3558025,11.0,84,UTC+0200,AumAWJiKT9,fba5c834-b870-9995-3b7f-a206810f4bdf,com.sec.android.app.shealth,,,,3,11740484-7036-e3a8-646b-e366a5768d4f,
0.0,,2019-11-27 17:39:18.240,48.87238,,,Mostly Cloudy,,1,TWC,2019-11-27 17:51:56.587,2019-11-27 17:51:56.587,0,2.328909,12.0,78,UTC+0200,AumAWJiKT9,a979d788-fe3f-02fc-4349-4534f0c9d572,com.sec.android.app.shealth,,,,3,215d5e7c-9ea3-4ce0-2f6e-69a99ed6b159,
2.0,,2019-06-25 16:01:37.180,43.304146,,,Sunny,,1,TWC,2019-06-25 16:15:07.813,2019-06-25 16:15:07.813,0,5.376513,32.0,39,UTC+0300,AumAWJiKT9,b10729e6-17f2-516c-cbc5-8c8505a8c06b,com.sec.android.app.shealth,,,,1,6fa81c78-2aaf-9d20-f159-b3c01f56bcfc,
0.0,,2019-12-04 10:02:19.590,48.814194,,,Fair,,1,TWC,2019-12-04 10:16:19.941,2019-12-04 10:16:19.941,0,2.1909657,3.0,86,UTC+0200,AumAWJiKT9,8a4e925b-213e-08b1-2e20-9f8bee0c31b4,com.sec.android.app.shealth,,,,1,11ec3cfb-5626-d94c-ca90-7060d8beab14,
,0,2019-07-02 13:55:20.640,48.85703,,NNE. 30,Sunny,0,1,TWC,2019-07-02 13:55:20.647,2019-07-02 13:55:20.647,1,2.3485334,24.0,41,UTC+0300,dNgkxZR9yp,b957c717-a1c3-4849-a81f-0868c8102a82,com.sec.android.app.shealth,km/h,0,14.0,1,acb808be-cdbc-471b-935a-8756b1954203,
6.0,,2019-07-08 13:29:28.940,48.89341,,,Sunny,,1,TWC,2019-07-08 13:42:54.366,2019-07-08 13:42:54.366,0,2.3526554,23.0,31,UTC+0300,AumAWJiKT9,e4381c14-67bf-803c-8ca9-d5929b7a0f91,com.sec.android.app.shealth,,,,1,0c5a15c2-8078-e0e9-672c-3ca4bb060310,
0.0,,2019-07-16 05:26:40.710,48.810417,,,Sunny,,1,TWC,2019-07-16 05:44:11.575,2019-07-16 05:44:11.575,0,2.1873617,14.0,77,UTC+0300,AumAWJiKT9,127866ae-5a49-03b4-88f3-7807a4544a3d,com.sec.android.app.shealth,,,,1,7f034baf-7a87-cb73-766d-9e83f492c6eb,
8.0,,2019-07-24 12:23:11.660,43.73315,,,Fair,,1,TWC,2019-07-24 12:34:51.023,2019-07-24 12:34:51.023,0,5.937786,37.0,26,UTC+0300,AumAWJiKT9,e6c5dde5-68d4-3c05-3881-bf5494238a6d,com.sec.android.app.shealth,,,,1,131813c3-c2b4-c76d-a02f-d8d8ff3332f2,
0.0,,2019-12-16 16:11:50.370,48.87463,,,Clear,,1,TWC,2019-12-16 16:26:34.658,2019-12-16 16:26:34.658,0,2.3123736,11.0,88,UTC+0200,AumAWJiKT9,f2760c3e-2872-8b4f-ebc1-d2de8befc81a,com.sec.android.app.shealth,,,,18,18ed82b3-31f0-31c5-f3a8-760eeb95d2f7,
0.0,,2019-07-29 17:44:17.100,43.804684,,,Sunny,,1,TWC,2019-07-29 18:39:20.906,2019-07-29 18:39:20.906,0,5.9177775,27.0,33,UTC+0300,AumAWJiKT9,76110860-7e14-4189-3595-006440d13489,com.sec.android.app.shealth,,,,1,7b056c43-990c-746c-e493-4c73fed2cfb9,
0.0,,2019-12-25 15:38:39.610,48.814064,,,Mostly Cloudy,,1,TWC,2019-12-25 16:26:05.008,2019-12-25 16:26:05.008,0,2.1769702,8.0,64,UTC+0200,AumAWJiKT9,576b1ddb-53cf-d8ae-1b7f-0a65824c367a,com.sec.android.app.shealth,,,,3,c179fff6-1a61-2e37-62f8-c283867b47a5,
