com.samsung.shealth.sleep,6188005,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,0,,,,,,,,0ceca952-fefe-8eed-fe39-a5c9e100ea76.extra_data.json,,82.0,,,2019-08-05 16:14:00.000,,2019-08-05 17:20:48.745,2019-08-05 17:20:48.745,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-08-05 17:17:00.000,0ceca952-fefe-8eed-fe39-a5c9e100ea76,
,,,,,,,,,,,,0,,,,,,,,a93a98f9-2990-2a89-d89e-18e86b355afd.extra_data.json,,90.0,,,2019-08-23 21:45:00.000,,2019-08-24 06:34:10.391,2019-08-24 06:34:10.391,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-08-24 06:30:00.000,a93a98f9-2990-2a89-d89e-18e86b355afd,
,,,,,,,,,,,,0,,,,,,,,b9daeb40-c0df-50bc-4602-80fa7693189e.extra_data.json,,93.0,,,2019-08-31 21:25:00.000,,2019-09-01 06:04:58.395,2019-09-01 06:04:58.395,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-09-01 05:48:00.000,b9daeb40-c0df-50bc-4602-80fa7693189e,
,,,,,,,,,,,,0,,,,,,,,08b42699-4b3a-3ace-af05-c2ad9afb523e.extra_data.json,,93.0,,,2019-09-07 21:45:00.000,,2019-09-08 05:33:26.336,2019-09-08 05:33:26.336,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-09-08 05:22:00.000,08b42699-4b3a-3ace-af05-c2ad9afb523e,
,,,,,,,,,,,,0,,,,,,,,177327bf-358e-e1eb-0899-d63f2d93a4da.extra_data.json,,92.0,,,2019-09-11 22:14:00.000,,2019-09-12 05:10:16.332,2019-09-12 05:10:16.332,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-09-12 05:04:00.000,177327bf-358e-e1eb-0899-d63f2d93a4da,
,,,,,,,,,,,,0,,,,,,,,1c3cce3e-28b7-19b7-b732-51a4263e6e38.extra_data.json,,89.0,,,2019-09-14 20:37:00.000,,2019-09-15 07:28:47.356,2019-09-15 07:28:47.356,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-09-15 07:10:00.000,1c3cce3e-28b7-19b7-b732-51a4263e6e38,
,,,,,,,,,,,,0,,,,,,,,81f07eb7-f627-6e00-929f-439657b90d9e.extra_data.json,,83.0,,,2019-09-20 20:48:00.000,,2019-09-21 06:23:26.380,2019-09-21 06:23:26.380,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-09-21 06:19:00.000,81f07eb7-f627-6e00-929f-439657b90d9e,
,,,,,,,,,,,,0,,,,,,,,281827b6-bd50-af64-d102-68783c08d56e.extra_data.json,,89.0,,,2019-09-22 21:42:00.000,,2019-09-23 00:34:00.340,2019-09-23 00:34:00.340,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-09-23 00:18:00.000,281827b6-bd50-af64-d102-68783c08d56e,
,,,,,,,,,,,,0,,,,,,,,324e0f36-1836-e854-069e-597fde4167b2.extra_data.json,,84.0,,,2019-09-25 21:51:00.000,,2019-09-26 05:21:17.406,2019-09-26 05:21:17.406,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-09-26 05:17:00.000,324e0f36-1836-e854-069e-597fde4167b2,
,,,,,,,,,,,,1,,,,,,,,7919ab52-8f88-5dbc-80b9-03a1f49e13c9.extra_data.json,,68.0,,,2019-09-29 09:34:00.000,,2019-09-29 19:30:28.172,2019-09-29 19:30:28.172,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-09-29 10:15:00.000,7919ab52-8f88-5dbc-80b9-03a1f49e13c9,
,,,,,,,,,,,,0,,,,,,,,58b728cd-c200-20a3-11cd-fb751bcbd160.extra_data.json,,65.0,,,2019-10-02 11:33:00.000,,2019-10-02 15:14:32.785,2019-10-02 15:14:32.785,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-02 15:10:00.000,58b728cd-c200-20a3-11cd-fb751bcbd160,
,,,,,,,,,,,,0,,,,,,,,ddea1840-6b19-c5c7-0912-8d72f945293a.extra_data.json,,73.0,,,2019-10-05 11:40:00.000,,2019-10-05 13:15:06.448,2019-10-05 13:15:06.448,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-05 13:14:00.000,ddea1840-6b19-c5c7-0912-8d72f945293a,
,,,,,,,,,,,,1,,,,,,,,e4539438-9016-00c4-e25e-3f61e518bcba.extra_data.json,,91.0,,,2019-10-06 21:24:00.000,,2019-10-07 05:18:16.706,2019-10-07 05:18:16.706,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-07 05:13:00.000,e4539438-9016-00c4-e25e-3f61e518bcba,
,,,,,,,,,,,,0,,,,,,,,96138564-924a-7417-0273-f3dc2956e104.extra_data.json,,80.0,,,2019-10-10 03:39:00.000,,2019-10-10 04:37:40.451,2019-10-10 04:37:40.451,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-10 04:34:00.000,96138564-924a-7417-0273-f3dc2956e104,
,,,,,,,,,,,,0,,,,,,,,b19c26f0-52bc-c3e4-716d-133e2ea40254.extra_data.json,,80.0,,,2019-10-12 13:27:00.000,,2019-10-12 14:36:00.614,2019-10-12 14:36:00.614,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-12 14:28:00.000,b19c26f0-52bc-c3e4-716d-133e2ea40254,
,,,,,,,,,,,,0,,,,,,,,b9e271d1-eb97-4a78-a206-71e33f17e32b.extra_data.json,,71.0,,,2019-10-16 11:28:00.000,,2019-10-16 13:07:22.913,2019-10-16 13:07:22.913,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-16 13:02:00.000,b9e271d1-eb97-4a78-a206-71e33f17e32b,
,,,,,,,,,,,,0,,,,,,,,86ebb5e8-dccd-276e-7c9b-1ee9b7ed5033.extra_data.json,,92.0,,,2019-10-19 21:22:00.000,,2019-10-20 07:42:09.382,2019-10-20 07:42:09.382,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-20 07:39:00.000,86ebb5e8-dccd-276e-7c9b-1ee9b7ed5033,
,,,,,,,,,,,,0,,,,,,,,7fd0c15c-a647-fca3-fca4-11d08d72d451.extra_data.json,,73.0,,,2019-10-23 18:57:00.000,,2019-10-23 20:32:20.125,2019-10-23 20:32:20.125,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-23 20:13:00.000,7fd0c15c-a647-fca3-fca4-11d08d72d451,
,,,,,,,,,,,,0,,,,,,,,515b92a2-564f-83b8-8fe8-48922b4ac52d.extra_data.json,,65.0,,,2019-10-25 21:08:00.000,,2019-10-25 22:16:59.545,2019-10-25 22:16:59.545,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-25 22:14:00.000,515b92a2-564f-83b8-8fe8-48922b4ac52d,
,,,,,,,,,,,,0,,,,,,,,f8a19ad2-978f-66e0-68b1-aaa09c231f83.extra_data.json,,74.0,,,2019-10-27 19:47:00.000,,2019-10-27 21:43:02.457,2019-10-27 21:43:02.457,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-27 21:40:00.000,f8a19ad2-978f-66e0-68b1-aaa09c231f83,
,,,,,,,,,,,,0,,,,,,,,72132fad-e74d-99c9-0b05-d739c5f9c7ee.extra_data.json,,89.0,,,2019-10-31 01:12:00.000,,2019-10-31 06:27:19.839,2019-10-31 06:27:19.839,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-10-31 06:27:00.000,72132fad-e74d-99c9-0b05-d739c5f9c7ee,
,,,,,,,,,,,,0,,,,,,,,c3b1e199-587b-9762-5c68-69d21a26f53b.extra_data.json,,89.0,,,2019-11-03 22:16:00.000,,2019-11-04 05:43:50.046,2019-11-04 05:43:50.046,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-04 05:41:00.000,c3b1e199-587b-9762-5c68-69d21a26f53b,
,,,,,,,,,,,,0,,,,,,,,0a7b860a-dc47-13af-00fa-24fc902d986c.extra_data.json,,84.0,,,2019-11-07 19:58:00.000,,2019-11-07 21:59:29.508,2019-11-07 21:59:29.508,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-07 21:56:00.000,0a7b860a-dc47-13af-00fa-24fc902d986c,
,,,,,,,,,,,,0,,,,,,,,fb153cec-2bd1-227a-9001-554705464fba.extra_data.json,,63.0,,,2019-11-10 15:19:00.000,,2019-11-10 16:32:49.555,2019-11-10 16:32:49.555,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-10 16:31:00.000,fb153cec-2bd1-227a-9001-554705464fba,
,,,,,,,,,,,,0,,,,,,,,b36c91f7-d137-50f6-bad3-de8205a07048.extra_data.json,,88.0,,,2019-11-12 22:33:00.000,,2019-11-13 05:34:43.367,2019-11-13 05:34:43.367,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-13 05:30:00.000,b36c91f7-d137-50f6-bad3-de8205a07048,
,,,,,,,,,,,,0,,,,,,,,b705a1bb-04d3-1fd3-8084-242d78ee0c8f.extra_data.json,,86.0,,,2019-11-16 22:36:00.000,,2019-11-17 08:20:09.463,2019-11-17 08:20:09.463,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-17 08:17:00.000,b705a1bb-04d3-1fd3-8084-242d78ee0c8f,
,,,,,,,,,,,,0,,,,,,,,8044f071-1da9-cdf2-cccc-cc9facfe68de.extra_data.json,,94.0,,,2019-11-18 22:38:00.000,,2019-11-19 01:02:35.337,2019-11-19 01:02:35.337,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-19 00:46:00.000,8044f071-1da9-cdf2-cccc-cc9facfe68de,
,,,,,,,,,,,,0,,,,,,,,86be6b59-9238-a630-bd5a-94ee515de49c.extra_data.json,,83.0,,,2019-11-20 23:41:00.000,,2019-11-21 03:27:50.351,2019-11-21 03:27:50.351,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-21 03:24:00.000,86be6b59-9238-a630-bd5a-94ee515de49c,
,,,,,,,,,,,,0,,,,,,,,1f6ecfb6-bac8-c51a-8d08-60a1707b2e00.extra_data.json,,87.0,,,2019-11-24 13:03:00.000,,2019-11-24 14:27:39.349,2019-11-24 14:27:39.349,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-24 14:22:00.000,1f6ecfb6-bac8-c51a-8d08-60a1707b2e00,
,,,,,,,,,,,,0,,,,,,,,759d77a0-6e3b-94d0-af72-5eda194b0651.extra_data.json,,85.0,,,2019-11-28 21:47:00.000,,2019-11-29 07:19:43.374,2019-11-29 07:19:43.374,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-11-29 07:17:00.000,759d77a0-6e3b-94d0-af72-5eda194b0651,
,,,,,,,,,,,,0,,,,,,,,95cfcf31-2767-94f9-b11c-fe9cdc0bb4c1.extra_data.json,,85.0,,,2019-12-01 01:06:00.000,,2019-12-01 07:51:55.399,2019-12-01 07:51:55.399,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-01 07:48:00.000,95cfcf31-2767-94f9-b11c-fe9cdc0bb4c1,
,,,,,,,,,,,,0,,,,,,,,0fe5ff4c-2963-282d-ac1e-723a8a3b45df.extra_data.json,,68.0,,,2019-12-04 06:53:00.000,,2019-12-04 09:17:54.853,2019-12-04 09:17:54.853,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-04 09:13:00.000,0fe5ff4c-2963-282d-ac1e-723a8a3b45df,
,,,,,,,,,,,,0,,,,,,,,dc88bcbd-596a-5203-77b1-0418f90060f4.extra_data.json,,85.0,,,2019-12-06 23:14:00.000,,2019-12-07 07:06:59.745,2019-12-07 07:06:59.745,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-07 07:03:00.000,dc88bcbd-596a-5203-77b1-0418f90060f4,
,,,,,,,,,,,,0,,,,,,,,4fa0dc57-9371-daa7-d2dc-836ece8a715f.extra_data.json,,82.0,,,2019-12-11 04:12:00.000,,2019-12-11 08:25:11.410,2019-12-11 08:25:11.410,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-11 05:15:00.000,4fa0dc57-9371-daa7-d2dc-836ece8a715f,
,,,,,,,,,,,,0,,,,,,,,98ccf559-c942-11ec-78cd-0e10310823f7.extra_data.json,,77.0,,,2019-12-15 12:52:00.000,,2019-12-15 14:01:12.605,2019-12-15 14:01:12.605,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-15 13:55:00.000,98ccf559-c942-11ec-78cd-0e10310823f7,
,,,,,,,,,,,,0,,,,,,,,c11d01e1-2f42-db8a-cdf3-3850a4415648.extra_data.json,,87.0,,,2019-12-18 21:57:00.000,,2019-12-19 07:40:28.103,2019-12-19 07:40:28.103,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-19 07:40:00.000,c11d01e1-2f42-db8a-cdf3-3850a4415648,
,,,,,,,,,,,,0,,,,,,,,291b090a-8c12-4029-74ca-4bf41d82e96d.extra_data.json,,88.0,,,2019-12-22 02:40:00.000,,2019-12-22 08:13:10.841,2019-12-22 08:13:10.841,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-22 08:12:00.000,291b090a-8c12-4029-74ca-4bf41d82e96d,
,,,,,,,,,,,,0,,,,,,,,15b5e6d8-1d54-7206-2817-b43dbbd8076c.extra_data.json,,83.0,,,2019-12-24 22:39:00.000,,2019-12-25 06:43:45.386,2019-12-25 06:43:45.386,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-25 06:40:00.000,15b5e6d8-1d54-7206-2817-b43dbbd8076c,
,,,,,,,,,,,,0,,,,,,,,4bfbc51d-de1e-43f2-6ca2-3615a021a3f4.extra_data.json,,70.0,,,2019-12-28 19:33:00.000,,2019-12-28 22:06:20.479,2019-12-28 22:06:20.479,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-28 21:55:00.000,4bfbc51d-de1e-43f2-6ca2-3615a021a3f4,
