com.samsung.shealth.stand_day_summary,6188005,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
2232320,2019-06-05 19:21:18.343,2019-06-04 22:00:04.798,AumAWJiKT9,com.sec.android.app.shealth,2747e479-ef1e-a961-d745-164086ac181b,1559692800000,
398848,2019-06-11 17:23:28.309,2019-06-10 22:00:32.455,AumAWJiKT9,com.sec.android.app.shealth,a29d12ef-b12a-c3dd-28ee-b52f8cb63972,1560211200000,
4229120,2019-06-17 20:05:03.755,2019-06-16 22:02:42.273,AumAWJiKT9,com.sec.android.app.shealth,a1f2f6c1-557d-34f1-4010-074e3e0f0ce0,1560729600000,
1114112,2019-06-23 18:49:45.294,2019-06-22 22:00:40.817,AumAWJiKT9,com.sec.android.app.shealth,3baee03f-9857-0a00-5cd1-54f10eb2579d,1561248000000,
4259841,2019-06-29 20:19:07.280,2019-06-28 22:00:34.478,AumAWJiKT9,com.sec.android.app.shealth,4e27f55d-0df4-57a0-3712-3de1c469bb1c,1561766400000,
20480,2019-07-05 12:13:53.288,2019-07-04 22:00:03.228,AumAWJiKT9,com.sec.android.app.shealth,308a9125-c5c8-530f-f8bc-cabdfc8bd7f4,1562284800000,
14850048,2019-07-11 21:59:22.281,2019-07-10 22:00:09.700,AumAWJiKT9,com.sec.android.app.shealth,c562a01d-6341-d04f-0189-267138970703,1562803200000,
8527872,2019-07-18 21:18:04.286,2019-07-17 22:02:01.697,AumAWJiKT9,com.sec.android.app.shealth,a39d24e2-24b3-acc1-0e1c-4eee60c522be,1563408000000,
339968,2019-06-06 16:04:54.248,2019-06-05 22:00:16.002,AumAWJiKT9,com.sec.android.app.shealth,d2bbd6a4-e0b6-36e6-d7fe-d972a0f06506,1559779200000,
5835776,2019-06-12 21:35:22.271,2019-06-11 23:00:09.046,AumAWJiKT9,com.sec.android.app.shealth,720d2a27-9514-72cc-ec71-729f0595d7b4,1560297600000,
133120,2019-06-18 15:13:37.214,2019-06-17 22:06:40.209,AumAWJiKT9,com.sec.android.app.shealth,e35cc20d-5b3f-8f80-dac8-a6e321fe6c79,1560816000000,
2163200,2019-06-24 19:16:13.231,2019-06-23 22:00:14.161,AumAWJiKT9,com.sec.android.app.shealth,5c707188-af4d-9fae-7b56-77f31edb0cc3,1561334400000,
12582912,2019-06-30 21:54:34.246,2019-06-29 22:00:37.595,AumAWJiKT9,com.sec.android.app.shealth,f9fdb11b-fdfb-3eb1-372f-60643860be1a,1561852800000,
8455680,2019-07-06 21:39:09.297,2019-07-05 22:00:31.835,AumAWJiKT9,com.sec.android.app.shealth,257a74c6-d983-88c2-6ab9-d3506cd237d8,1562371200000,
102912,2019-06-04 15:44:26.957,2019-06-03 22:13:07.361,AumAWJiKT9,com.sec.android.app.shealth,9f5abb68-ce3e-273c-c33f-19b9fc1bf91a,1559606400000,
9736192,2019-06-10 21:35:04.279,2019-06-09 22:00:28.520,AumAWJiKT9,com.sec.android.app.shealth,e9628551-4212-d48b-e60b-8fdc43c1257c,1560124800000,
45056,2019-06-16 13:32:05.298,2019-06-15 22:00:28.503,AumAWJiKT9,com.sec.android.app.shealth,b27f8d98-87df-cc01-c103-c236efa86472,1560643200000,
6889984,2019-07-12 20:30:47.325,2019-07-11 22:00:21.607,AumAWJiKT9,com.sec.android.app.shealth,559969b3-7565-b6c9-e622-c656fff86fa6,1562889600000,
8487936,2019-06-22 21:28:07.426,2019-06-21 22:00:17.815,AumAWJiKT9,com.sec.android.app.shealth,e19d7375-5c39-664c-cef3-ea3f9a1abbb8,1561161600000,
271360,2019-06-28 16:49:26.235,2019-06-27 22:00:08.483,AumAWJiKT9,com.sec.android.app.shealth,91291ba8-f7a6-8f9b-4c9c-e214dd21ae97,1561680000000,
1349632,2019-07-19 18:59:37.270,2019-07-18 22:00:21.583,AumAWJiKT9,com.sec.android.app.shealth,ad6e9837-8d6d-96a7-ef32-c489623fbc2b,1563494400000,
3346432,2019-07-04 21:58:13.521,2019-07-03 22:00:10.568,AumAWJiKT9,com.sec.android.app.shealth,aeeb6f60-982c-11db-7199-1867531fec96,1562198400000,
4325376,2019-07-10 20:16:26.253,2019-07-09 22:00:09.451,AumAWJiKT9,com.sec.android.app.shealth,a634728e-d679-6ea3-27fc-827a39b12a55,1562716800000,
1048576,2019-07-25 18:00:13.820,2019-07-24 22:00:08.417,AumAWJiKT9,com.sec.android.app.shealth,2414bf52-f612-e267-22a6-1070f643780b,1564012800000,
724992,2019-07-17 17:45:55.285,2019-07-16 22:01:02.843,AumAWJiKT9,com.sec.android.app.shealth,2df5b1f8-5e16-cab5-6501-2f2cfa54623e,1563321600000,
1057280,2019-07-31 18:05:46.269,2019-07-30 22:00:16.758,AumAWJiKT9,com.sec.android.app.shealth,27b3c6f6-bdf3-329e-5f3e-b904e8a32c7c,1564531200000,
8474880,2019-06-03 21:50:19.287,2019-06-03 05:40:48.402,AumAWJiKT9,com.sec.android.app.shealth,02e3efa7-29a2-9798-5bd2-5652115284a1,1559520000000,
589824,2019-07-24 17:44:20.330,2019-07-23 22:00:09.091,AumAWJiKT9,com.sec.android.app.shealth,f2faa430-0ffe-9096-87ab-aad1dcada31b,1563926400000,
