com.samsung.shealth.tracker.pedometer_day_summary,6188005,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
366,796fe220-f45d-421d-841f-e5dfb68b718a.binning_data.json,175572,6000,12,2019-06-10 22:00:01.713,com.sec.android.app.shealth,2019-06-10 22:00:01.713,,2.458887,291.60156,13.489838,354,dNgkxZR9yp,com.sec.android.app.shealth,0,796fe220-f45d-421d-841f-e5dfb68b718a.achievement.json,796fe220-f45d-421d-841f-e5dfb68b718a,1560124800000,
7911,02bb1aaa-1755-4dbe-b80d-9b7f9a0f8a62.binning_data.json,4045694,6000,62,2019-06-11 23:09:42.096,com.sec.android.app.shealth,2019-06-11 07:49:19.529,,2.9722226,5723.263,299.78,7849,AumAWJiKT9,com.sec.android.app.shealth,0,02bb1aaa-1755-4dbe-b80d-9b7f9a0f8a62.achievement.json,02bb1aaa-1755-4dbe-b80d-9b7f9a0f8a62,1560211200000,
4246,cfd22fa2-ffe3-4688-bffa-896da08fc3b5.binning_data.json,2164257,6000,267,2019-06-09 22:15:07.153,com.sec.android.app.shealth,2019-06-09 07:19:05.781,,2.5610762,3054.4414,164.51201,3979,AumAWJiKT9,com.sec.android.app.shealth,0,cfd22fa2-ffe3-4688-bffa-896da08fc3b5.achievement.json,cfd22fa2-ffe3-4688-bffa-896da08fc3b5,1560038400000,
6895,fc2ddd50-ec90-4a17-a2f8-339f0566ff7b.binning_data.json,3451844,6000,190,2019-06-13 22:35:20.706,com.sec.android.app.shealth,2019-06-13 00:25:40.100,,4.1290765,5074.893,263.21,6705,AumAWJiKT9,com.sec.android.app.shealth,0,fc2ddd50-ec90-4a17-a2f8-339f0566ff7b.achievement.json,fc2ddd50-ec90-4a17-a2f8-339f0566ff7b,1560384000000,
369,e088c2c1-a5dc-47a3-a401-6396231687ce.binning_data.json,186396,6000,8,2019-06-09 22:00:00.663,com.sec.android.app.shealth,2019-06-09 22:00:00.663,,1.9540635,292.56494,13.378586,361,dNgkxZR9yp,com.sec.android.app.shealth,0,e088c2c1-a5dc-47a3-a401-6396231687ce.achievement.json,e088c2c1-a5dc-47a3-a401-6396231687ce,1560038400000,
5163,a4c03fd3-8548-4793-ae5a-fcd38974ac14.binning_data.json,2727727,6000,76,2019-06-11 23:00:00.544,com.sec.android.app.shealth,2019-06-11 23:00:00.544,,2.8874176,4049.4,188.0581,5087,dNgkxZR9yp,com.sec.android.app.shealth,0,a4c03fd3-8548-4793-ae5a-fcd38974ac14.achievement.json,a4c03fd3-8548-4793-ae5a-fcd38974ac14,1560211200000,
4018,ea134308-5fdf-476e-9ffc-a56b0f11f439.binning_data.json,1999266,6000,109,2019-06-13 22:00:02.020,com.sec.android.app.shealth,2019-06-13 22:00:02.020,,3.0404675,3187.5388,148.06401,3909,dNgkxZR9yp,com.sec.android.app.shealth,0,ea134308-5fdf-476e-9ffc-a56b0f11f439.achievement.json,ea134308-5fdf-476e-9ffc-a56b0f11f439,1560384000000,
8459,72cf3404-8ff4-4df3-9ece-cee0246d0c13.binning_data.json,4166964,6000,534,2019-06-16 23:27:06.306,com.sec.android.app.shealth,2019-06-16 01:15:04.966,,4.138889,6123.924,338.88116,7925,AumAWJiKT9,com.sec.android.app.shealth,0,72cf3404-8ff4-4df3-9ece-cee0246d0c13.achievement.json,72cf3404-8ff4-4df3-9ece-cee0246d0c13,1560643200000,
6593,ae6c2df5-555b-4665-baf6-cf80e35bf746.binning_data.json,3378661,6000,231,2019-06-13 00:25:40.162,com.sec.android.app.shealth,2019-06-11 23:09:42.100,,5.5,4802.118,255.451,6362,AumAWJiKT9,com.sec.android.app.shealth,0,ae6c2df5-555b-4665-baf6-cf80e35bf746.achievement.json,ae6c2df5-555b-4665-baf6-cf80e35bf746,1560297600000,
12972,270a0ca8-3c05-4e0b-9f33-dc6274defe27.binning_data.json,6139960,6000,794,2019-06-14 23:15:07.168,com.sec.android.app.shealth,2019-06-14 06:30:04.534,,2.4444444,9756.203,528.878,12178,AumAWJiKT9,com.sec.android.app.shealth,0,270a0ca8-3c05-4e0b-9f33-dc6274defe27.achievement.json,270a0ca8-3c05-4e0b-9f33-dc6274defe27,1560470400000,
8349,8addff83-12e0-49d4-a43f-72028ed025a0.binning_data.json,4064732,6000,724,2019-06-14 22:00:02.217,com.sec.android.app.shealth,2019-06-14 22:00:02.217,,3.356431,6870.72,331.62408,7625,dNgkxZR9yp,com.sec.android.app.shealth,0,8addff83-12e0-49d4-a43f-72028ed025a0.achievement.json,8addff83-12e0-49d4-a43f-72028ed025a0,1560470400000,
3213,144fb4f2-0a05-4aee-a879-eaae8cc49c10.binning_data.json,1752019,6000,2,2019-06-12 23:00:31.027,com.sec.android.app.shealth,2019-06-12 23:00:31.027,,5.3551583,2500.3567,116.012344,3211,dNgkxZR9yp,com.sec.android.app.shealth,0,144fb4f2-0a05-4aee-a879-eaae8cc49c10.achievement.json,144fb4f2-0a05-4aee-a879-eaae8cc49c10,1560297600000,
2009,75e74e89-8871-49ca-8073-50c0a073255f.binning_data.json,1006075,6000,0,2019-06-16 22:00:01.681,com.sec.android.app.shealth,2019-06-16 22:00:01.681,,1.8704284,1585.6998,71.61932,2009,dNgkxZR9yp,com.sec.android.app.shealth,0,75e74e89-8871-49ca-8073-50c0a073255f.achievement.json,75e74e89-8871-49ca-8073-50c0a073255f,1560643200000,
2725,4a99263d-9e88-40fe-85b4-cb260f55def7.binning_data.json,1291874,6000,83,2019-06-15 21:35:15.920,com.sec.android.app.shealth,2019-06-15 09:39:36.102,,6.839587,1979.1682,105.86106,2642,AumAWJiKT9,com.sec.android.app.shealth,0,4a99263d-9e88-40fe-85b4-cb260f55def7.achievement.json,4a99263d-9e88-40fe-85b4-cb260f55def7,1560556800000,
