com.samsung.shealth.stress,6188005,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2019-06-10 18:00:00.000,,c2f6587a-d534-8061-4bc3-0a57faa472cb.binning_data.json,10011,2019-06-10 19:06:35.618,2019-06-10 18:02:13.726,100.0,0.0,37.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-10 18:59:59.999,c2f6587a-d534-8061-4bc3-0a57faa472cb,
2019-06-11 05:00:00.000,,6485e5d6-27bc-3c81-8461-551e61f70de3.binning_data.json,10011,2019-06-11 06:01:24.720,2019-06-11 06:01:24.720,100.0,0.0,24.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-11 05:59:59.999,6485e5d6-27bc-3c81-8461-551e61f70de3,
2019-06-11 11:00:00.000,,77113460-eb3e-8110-8b2b-6d1de5cebac8.binning_data.json,10011,2019-06-11 12:07:16.742,2019-06-11 12:07:16.742,100.0,0.0,18.0,1,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-11 11:59:59.999,77113460-eb3e-8110-8b2b-6d1de5cebac8,
2019-06-11 17:00:00.000,,2fb58923-4f71-ec03-3daa-96eb559ffe96.binning_data.json,10011,2019-06-11 18:54:56.214,2019-06-11 18:54:56.214,100.0,1.0,22.0,1,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-11 17:59:59.999,2fb58923-4f71-ec03-3daa-96eb559ffe96,
2019-06-12 08:00:00.000,,ad903cf8-b89b-6277-64fc-d93b5e70d419.binning_data.json,10011,2019-06-12 09:02:17.096,2019-06-12 09:02:17.096,97.0,1.0,26.0,1,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-12 08:59:59.999,ad903cf8-b89b-6277-64fc-d93b5e70d419,
2019-06-12 14:00:00.000,,2d441b07-b630-6d8f-3bcf-411af063c5a3.binning_data.json,10011,2019-06-12 15:01:21.944,2019-06-12 15:01:21.944,100.0,0.0,44.0,1,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-12 14:59:59.999,2d441b07-b630-6d8f-3bcf-411af063c5a3,
2019-06-12 20:00:00.000,,98ae8a14-f55c-afdf-b7d3-24a0568b2b44.binning_data.json,10011,2019-06-12 21:02:27.439,2019-06-12 21:02:27.439,97.0,0.0,2.0,1,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-12 20:59:59.999,98ae8a14-f55c-afdf-b7d3-24a0568b2b44,
2019-06-13 02:00:00.000,,03da49ce-07f1-c730-05d3-47f31f4ed93f.binning_data.json,10011,2019-06-13 03:02:39.709,2019-06-13 03:02:39.709,95.0,0.0,8.0,1,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-13 02:59:59.999,03da49ce-07f1-c730-05d3-47f31f4ed93f,
2019-06-13 14:00:00.000,,2fd625da-258b-cb80-5289-78307af860cb.binning_data.json,10011,2019-06-13 15:01:44.344,2019-06-13 14:23:34.498,100.0,0.0,30.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-13 14:59:59.999,2fd625da-258b-cb80-5289-78307af860cb,
2019-06-14 09:00:00.000,,8e120c34-85df-2946-4504-47fcc9d06a17.binning_data.json,10011,2019-06-14 10:01:51.755,2019-06-14 10:01:51.755,95.0,0.0,25.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-14 09:59:59.999,8e120c34-85df-2946-4504-47fcc9d06a17,
2019-06-14 15:00:00.000,,7fd857b9-19b0-b72c-d693-9f4bb30cde8e.binning_data.json,10011,2019-06-14 16:07:27.571,2019-06-14 16:07:27.571,99.0,0.0,29.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-14 15:59:59.999,7fd857b9-19b0-b72c-d693-9f4bb30cde8e,
2019-06-15 08:00:00.000,,69c6c6f9-f4ec-5e0d-cd3a-abe1b5517427.binning_data.json,10011,2019-06-15 09:05:12.665,2019-06-15 09:05:12.665,94.0,0.0,12.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-15 08:59:59.999,69c6c6f9-f4ec-5e0d-cd3a-abe1b5517427,
2019-06-15 14:00:00.000,,03206e8c-d272-4b61-0425-3f9370987fb9.binning_data.json,10011,2019-06-15 15:03:25.669,2019-06-15 15:02:28.415,36.0,0.0,1.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-15 14:59:59.999,03206e8c-d272-4b61-0425-3f9370987fb9,
2019-06-16 00:00:00.000,,99978c76-b85b-2a64-b209-a6ef5eb37a7c.binning_data.json,10011,2019-06-16 02:21:00.834,2019-06-16 00:36:46.260,1.0,0.0,0.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-16 00:59:59.999,99978c76-b85b-2a64-b209-a6ef5eb37a7c,
2019-06-16 10:00:00.000,,2462feb3-831a-b029-bd62-ae3e668374a3.binning_data.json,10011,2019-06-16 11:04:41.184,2019-06-16 11:04:41.184,99.0,0.0,9.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-16 10:59:59.999,2462feb3-831a-b029-bd62-ae3e668374a3,
2019-06-16 16:00:00.000,,b328d828-feb3-ca1f-becd-a7510c195a3a.binning_data.json,10011,2019-06-16 17:01:23.999,2019-06-16 17:01:23.999,100.0,0.0,25.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-16 16:59:59.999,b328d828-feb3-ca1f-becd-a7510c195a3a,
2019-06-16 22:00:00.000,,c4988dc7-0cc7-73a7-6256-e75838487111.binning_data.json,10011,2019-06-16 23:05:09.556,2019-06-16 22:55:03.431,100.0,0.0,3.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-16 22:59:59.999,c4988dc7-0cc7-73a7-6256-e75838487111,
2019-06-17 08:00:00.000,,22fc226b-f2b5-13ae-40ba-ef8790d67465.binning_data.json,10011,2019-06-17 09:05:15.531,2019-06-17 09:05:15.531,100.0,0.0,18.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-17 08:59:59.999,22fc226b-f2b5-13ae-40ba-ef8790d67465,
