com.samsung.shealth.best_records,6188005,1
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
f840b01e-2b84-e054-a1c7-17a84862bd68,-1,2021-09-21 07:55:09.963,2020-01-09 21:32:10.185,,1578601139116,1,7213800.0,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,7ac470c7-e2b6-4fa9-b9cb-eb9bd40d752a,
de75f7be-4a0e-a41a-52bb-ccb2c8962199,-1,2021-09-21 07:55:09.952,2020-05-19 18:59:33.911,,1589914026640,2,600.718,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_cycling,c71a9fc9-df08-4b7c-975a-035a47df1f20,
4d07da9d-93a9-463a-8908-1cf8e797f097,-1,2021-09-21 07:55:09.899,2020-06-10 20:28:45.343,,1591819241860,1,8672674.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,f09cc81d-39a9-4efe-9109-b36f67846455,
4f29e4ed-5ef2-8aba-870d-ae842e3b7227,-1,2021-09-22 08:11:31.223,2021-09-22 08:11:31.223,,1592864551740,2,1306.932,1001,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,c4bc04f6-ce4b-41ab-bf1f-9995b33ddf00,
,-1,2019-06-05 12:35:04.696,2019-06-05 12:35:04.696,,1559606400000,6,28.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.floor,ddfbd5bd-6d7a-415b-9620-00acf6488c67,
,-100003,2019-07-23 13:44:16.319,2019-07-23 13:44:16.319,,1563753600000,0,18246.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,f9d6c903-3d9e-4502-81a0-e688fa54a41b,
6f414c98-1f36-0e0d-ddc7-083cdacada0d,-1,2021-09-21 07:55:09.921,2019-12-21 01:44:38.179,,1576884873352,3,571.335,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,fb59a4f8-8038-455e-9af1-6a2e57a15544,
f840b01e-2b84-e054-a1c7-17a84862bd68,-1,2021-09-21 07:55:09.963,2020-01-09 21:32:10.268,,1578601139116,2,597.134,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,f25d18d4-7c59-49b6-936e-9cf7985065c5,
de75f7be-4a0e-a41a-52bb-ccb2c8962199,-1,2021-09-21 07:55:09.952,2020-05-19 18:59:34.068,,1589914026640,3,9895.556,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_cycling,8e606862-5128-4d3d-a466-3456a9b30db3,
4d07da9d-93a9-463a-8908-1cf8e797f097,-1,2021-09-21 07:55:09.899,2020-06-10 20:28:45.544,,1591819241860,5,286.18225,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,6c0ca74b-6472-40ac-b5f7-6f6fa0ff1732,
215be629-d3d2-2341-4796-e798f303d4d6,-1,2021-09-22 08:11:31.298,2021-09-22 08:11:31.298,,1590179971990,4,10.888,11007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,1ebdd0df-2e55-4a5a-b386-346e1c465df8,
,-100003,2019-06-05 22:00:01.095,2019-06-05 22:00:01.095,,1559692800000,0,12797.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,31303dd0-f2e9-4fc6-9b8b-fb0b4390ae77,
,-100003,2019-07-28 22:55:28.895,2019-07-28 22:55:28.895,,1564272000000,0,19373.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,c51d674e-bcf1-4b29-a92c-588373c03055,
3dfdc5a9-efc6-2762-1b0c-f726f529c706,-1,2021-09-21 07:55:09.887,2019-12-26 14:48:34.616,,1577372507651,3,3253.093,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_running,2780165a-2b30-451d-b35e-01f4832367fd,
d419646e-da34-95d7-c882-a58761d6a254,-1,2021-09-21 07:55:09.940,2020-02-25 09:54:21.242,,1578657414897,3,8106.921,1001,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,3c0ca66f-e93f-4d2a-9198-ad519705b0bb,
4e7e1858-222d-19d0-c394-21989161c120,-1,2021-09-21 07:55:09.903,2020-05-24 16:46:58.241,,1590340184630,2,734.485,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_cycling,44fdc7d2-40c8-4a97-b5d4-01ab206d67ad,
,-100003,2020-06-12 22:00:01.945,2020-06-12 22:00:01.945,,1591920000000,0,30211.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,69ab5c0d-084a-419d-86b8-7ccd18ff4975,
