com.samsung.shealth.report,6188005,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Paris,1573945200000,2019-11-30 12:10:47.429,2019-11-24 12:10:23.753,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,41d2011a-a7c8-4817-b628-b169e32eb6d4,41d2011a-a7c8-4817-b628-b169e32eb6d4.compressed_content.json,
Europe/Paris,1572735600000,2019-11-16 12:11:57.773,2019-11-10 12:10:18.152,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,c79e3736-b68c-4d4d-ad5e-d2c4e8d33241,c79e3736-b68c-4d4d-ad5e-d2c4e8d33241.compressed_content.json,
Europe/Paris,1575154800000,2019-12-14 12:10:21.013,2019-12-08 12:20:57.151,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,a37b3dcf-bb56-4a8f-a73f-ba26d495b829,a37b3dcf-bb56-4a8f-a73f-ba26d495b829.compressed_content.json,
Europe/Paris,1576969200000,2020-01-04 12:12:34.934,2019-12-29 12:15:43.551,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,5ed4ded6-d551-47e0-9591-63560b3887e9,5ed4ded6-d551-47e0-9591-63560b3887e9.compressed_content.json,
Europe/Paris,1577574000000,2020-01-11 12:10:21.533,2020-01-05 12:10:11.273,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,e3941ebc-17e4-4cf6-bbbe-568799487039,e3941ebc-17e4-4cf6-bbbe-568799487039.compressed_content.json,
Europe/Paris,1578178800000,2020-01-18 12:28:04.937,2020-01-12 12:10:46.236,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,c450923d-7844-4dd7-8428-dc5c69220539,c450923d-7844-4dd7-8428-dc5c69220539.compressed_content.json,
Europe/Paris,1576364400000,2019-12-28 12:16:53.154,2019-12-22 12:29:34.109,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,58360bda-9056-4d9b-bc32-eb419b871bed,58360bda-9056-4d9b-bc32-eb419b871bed.compressed_content.json,
Europe/Paris,1580598000000,2020-02-09 13:29:24.647,2020-02-09 13:28:40.946,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,4c52bf66-4d1c-44af-973c-e0c7cfce5897,4c52bf66-4d1c-44af-973c-e0c7cfce5897.compressed_content.json,
Europe/Paris,1578783600000,2020-01-25 12:10:13.082,2020-01-19 12:10:28.495,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,237e12c1-5c1b-4dbf-a970-b3c53f6bba79,237e12c1-5c1b-4dbf-a970-b3c53f6bba79.compressed_content.json,
America/Havana,1580619600000,2020-02-15 18:11:30.364,2020-02-09 18:10:12.171,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,ec5d4e47-b2d7-49bb-accc-c3d6a24d3e05,ec5d4e47-b2d7-49bb-accc-c3d6a24d3e05.compressed_content.json,
Europe/Paris,1581202800000,2020-02-22 13:03:51.504,2020-02-16 18:11:07.612,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,3eafba9a-01a4-4959-8210-947e3495faed,3eafba9a-01a4-4959-8210-947e3495faed.compressed_content.json,
Europe/Paris,1579993200000,2020-02-08 12:43:10.795,2020-02-02 13:04:55.277,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,5c435d6c-41ba-434a-90c2-587a65303e63,5c435d6c-41ba-434a-90c2-587a65303e63.compressed_content.json,
Africa/Casablanca,1583622000000,2020-03-21 12:36:10.344,2020-03-15 12:12:14.950,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,8be21829-cd7e-44d3-bc1b-c41068b7d8f9,8be21829-cd7e-44d3-bc1b-c41068b7d8f9.compressed_content.json,
Europe/Paris,1581807600000,2020-02-29 12:21:20.809,2020-02-23 13:10:13.247,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,d22f651b-8ef7-4987-8e4e-70c714347207,d22f651b-8ef7-4987-8e4e-70c714347207.compressed_content.json,
Europe/Paris,1584226800000,2020-03-28 12:24:55.318,2020-03-22 12:27:52.419,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,687bb5e3-90fc-4e97-99f7-b6dc65ea53be,687bb5e3-90fc-4e97-99f7-b6dc65ea53be.compressed_content.json,
Europe/Paris,1584831600000,2020-04-04 11:11:08.523,2020-03-29 12:15:39.550,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,782ea6bc-7329-490a-8e63-85d395aeda82,782ea6bc-7329-490a-8e63-85d395aeda82.compressed_content.json,
Europe/Paris,1583017200000,2020-03-14 12:10:27.650,2020-03-08 12:10:20.722,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,96d59e68-cd3b-44e3-8a34-e70cab718f47,96d59e68-cd3b-44e3-8a34-e70cab718f47.compressed_content.json,
Europe/Paris,1587247200000,2020-05-02 11:11:01.505,2020-04-26 11:11:53.633,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,e3577278-66b0-4864-888d-470d02292096,e3577278-66b0-4864-888d-470d02292096.compressed_content.json,
Europe/Paris,1585436400000,2020-04-11 11:11:00.510,2020-04-05 11:12:20.071,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,227d6a50-9e39-466a-af49-ec416fbc320d,227d6a50-9e39-466a-af49-ec416fbc320d.compressed_content.json,
Europe/Paris,1587852000000,2020-05-09 11:36:43.299,2020-05-03 11:20:21.417,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,3e248800-9af0-4220-9d01-f271e18673a1,3e248800-9af0-4220-9d01-f271e18673a1.compressed_content.json,
Europe/Paris,1588456800000,2020-05-16 11:11:05.794,2020-05-10 11:10:51.362,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,6414498f-489e-4994-a19d-0c87fd5c48fb,6414498f-489e-4994-a19d-0c87fd5c48fb.compressed_content.json,
Europe/Paris,1590876000000,2020-06-13 11:11:49.498,2020-06-07 11:10:29.144,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,ed91480a-9950-440b-a078-663b11c77777,ed91480a-9950-440b-a078-663b11c77777.compressed_content.json,
Europe/Paris,1586642400000,2020-04-25 11:16:09.003,2020-04-20 11:12:29.766,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,bb01424f-391b-4d5d-9e52-f9bce0b28d4f,bb01424f-391b-4d5d-9e52-f9bce0b28d4f.compressed_content.json,
Europe/Paris,1589061600000,2020-05-23 11:22:49.926,2020-05-17 11:10:11.180,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,6dd2f32e-a8b7-4dfa-a615-ef7a47df6fab,6dd2f32e-a8b7-4dfa-a615-ef7a47df6fab.compressed_content.json,
Europe/Paris,1592085600000,2020-06-27 11:10:12.801,2020-06-21 11:10:12.118,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,c9238df0-d091-4746-9c84-7159902ac404,c9238df0-d091-4746-9c84-7159902ac404.compressed_content.json,
Europe/Paris,1591480800000,2020-06-20 11:11:41.249,2020-06-14 11:10:43.868,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,12ac25a1-d756-4c12-8be5-94c00649eb01,12ac25a1-d756-4c12-8be5-94c00649eb01.compressed_content.json,
Europe/Paris,1594504800000,2020-07-25 11:10:54.452,2020-07-20 11:10:32.005,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,f689c4af-8492-4c34-afe4-0fae8c3c873a,f689c4af-8492-4c34-afe4-0fae8c3c873a.compressed_content.json,
Europe/Paris,1590271200000,2020-06-06 11:13:17.690,2020-05-31 11:10:18.419,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,a80e9210-5d3f-40cf-b330-dc6cd07579be,a80e9210-5d3f-40cf-b330-dc6cd07579be.compressed_content.json,
Europe/Paris,1592690400000,2020-07-04 11:10:28.727,2020-06-28 11:10:24.100,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,5c0a64ae-7b05-40c9-bbbb-2286d0d7262b,5c0a64ae-7b05-40c9-bbbb-2286d0d7262b.compressed_content.json,
